content	emotion1	emotion2	sentiment
「团队的力量」我愿在我的世界里，无论何时何地，你们都在一起！ i＝爱＝[红桃][爱你]在一起，一起迎着风，欢笑，成长！ [good]当然还有荫姐，一直等你回来！ 	like	none	1
中国这个国家真是没希望了，我刚才放到博客中国上的那篇文章，没有几个看得懂的，全是些浅薄无知之徒，这个国家算是完了。 改革开放这么些年，只抓经济，不搞政治进步和文化建设，最后培养出一批劣质人口，靠这些疯狂式的人来改造社会，只能更坏，只能是更大的灾难。 	disgust	none	-1
爹：给你找个媳妇。 儿：自己找！ 爹：这女孩是比尔盖茨女儿！ 儿：这样？行！ 爹找比尔盖茨：我给你女儿找了一个老公。 比尔盖茨：NO，女儿还小！ 爹：这人是世界银行副总裁！ 比尔盖茨：这样？行！ 爹找世界银行总裁：给你推荐个副总裁！ 总裁：我有副总裁！ 爹：他是比尔盖茨的女婿！ 总裁：这样呀，行！ 	none	none	0
一男一女去吃米线 男：老板！ 来四大碗米线！ 女：叫那么多干嘛,我吃一碗就够了！ 男的拍了拍脑袋,说：哦，还有你，老板！ 来五大碗！ 	none	none	0
蔡康永说：如果你喜欢了一位偶像，请你一定要去看一场他的表演，亲自去，要亲眼看看他。 嗯，我会滴，这个七月，不错过。 	none	none	0
这家位于槟城George Town，Tunes Hotel斜对面的饼家，家庭式作业，她的咸蛋酥，年糕椰蓉酥，叉烧酥都很不错。[good] 	like	none	1
闻闻有粽子味儿,琴头上得栓只黑驴蹄子..... 美么? 昨天在百来公里外闭塞的乡下录音,跟一帮子巫师为伍.饭菜都很好吃,就是晚上8点过后买不到酒了....... 	happiness	none	1
利物浦官方宣布，俱乐部已经同意托雷斯转会切尔西的报价，托雷斯将被允许和切尔西方面商讨个人待遇的问题——一个时代结束了，苏亚雷斯+卡罗尔，一场豪华的赌博。 	none	none	0
少烟多茶，少酒多水，少盐多醋，少油多奶; 少肉多菜，少糖多果，少食多嚼，少车多步，少停多动，少言多行，少烦多眠，少怒多笑健康行为口决：少烟多茶，少酒多水，少盐多醋，少油多奶; 少肉多菜，少糖多果，少食多嚼，少车多步，少停多动，少言多行，少烦多眠，少怒多笑。 	none	none	0
一个小时看完了某大师的营销专着,发现是本博客文集,大呼上当。 唯一的收获是里面有个菲力普. 肖特关于毛泽东传的段子,不错,35元一本,算值了 	like	sadness	3
今天，下楼梯时，手从扶手上滑过，没想到一突起的木刺扎入指甲中，好深、好痛。 跑到医务室，校医没辙，让我到医院。 到仁安医院后，经外科医生用镊子捏，在经历了一阵剧痛之后，终于拔出。 	none	none	0
一家终获团圆，但现场一片混乱，媒体记者如落巢的马蜂般一拥而上，冲入机场安检区，完全失去秩序。 吓坏了小乐乐。 也让彭高峰夫妇顿生反感，躲避媒体采访。 好事变成闹剧。 今晚，媒体自扇耳光。 	none	none	0
今天是个值得开心和崩溃的日子～ 大腿再次拉伤，痛到我眼泪都出了… 回到宿舍连续拉肚子，崩溃… 接下来继续红红的红歌赛～ 	sadness	happiness	3
鱼米之乡，鱼被渴死了，米被干死了。 千湖之省面临50万人饮水难的尴尬。 有库无水，有水无泵，有泵无渠，有渠不通。 这是2012来临前，老天爷给我们上的又一课！ 	none	none	0
[吃惊] @青春爱哭的小猪:编教材的要不把孩子送到国外去了，要不心理有些变态。 //@青春爱哭的小猪:我从应试教育走来，然后现在在学习新课改的理念。 我想狠狠的抽自己一耳光~~~ 	anger	none	-1
发怒，是用别人的错误惩罚自己； 烦恼，是用自己的过失折磨自己； 后悔，是用无奈的往事摧残自己； 忧虑，是用虚拟的风险惊吓自己； 孤独，是用自制的牢房禁锢自己； 自卑，是用别人的长处抵毁自己。 摒弃这些，你就会轻松许多。 	none	none	0
某日，我早起，给他留了100元钱放在桌子上(我是家里的财政大臣)。 上班后，估摸着他已起床，就短他：老公，桌上是给你昨夜的服务费。 他回：全套服务才100块呀? 赶明儿找个富婆去。。。 	none	none	0
OMG，是我不关心八卦太久了吗？！ 白天还在跟小黑讨论Jensen过生日，跟大J一起回温哥华机场的事，我忍不住想JQ肯定又燃烧起来了！！ 结果刚刚KANA来跟我说八卦：J2周末一起公然出现在某个GAY BAR（CLUB 560），没想到被人给看见了！！！ 谁能告诉我这是不是真的啊啊啊啊啊啊，我要疯狂了~~~~~~~~~ 	surprise	none	2
开光法会由灵光寺方丈常藏法师主持。 中国佛教协会会长传印长老，国家宗教事务局蒋坚永副局长，大韩佛教天台宗总务院长朱正山长老，日本临济宗妙心寺派灵云院住持则竹秀南长老，缅甸联邦共和国宗教杜拉吴敏貌部长先后致词。 全国各省市佛教协会各大寺院以及港澳台佛教界高僧大德也纷纷发来贺电表示祝贺！ 	none	none	0
要送给大家的20本毛边书心已经签完啦。 我随机在留言里找20位小盆友，会私信问你们要联系方式发快递，请保持私信设置成可以联系状态哦。 	none	none	0
回复@方子春:方老师您好，下周一，就是30号，可以的。 //@方子春:回复@北京蚂蚱轩文化-李轩纹身刺青:我们现在约了不就行了。 下星期你们定个时间不就行了？ 星期一行吗 	none	none	0
一直以来自持清高甚至刁钻刻薄的诗人朋友极力向我推荐电视剧《男人帮》，为此看了几集：除了一贯的赵宝刚式贫嘴，整个一群神经质加傻帽，情节高度离谱，表演高度夸张，毫无动容之处。 看不下去了。 责问那位朋友，他说他也觉得不好看了。 	disgust	none	-1
[问月]把我的疑问重发一下，中国的节日多多少少都在强调一件事，我等祖上都是地里刨食的。 那些重要的日子和未来陶土碗里能装点啥关糸密切。 但并不文艺的周朝姬氏为啥选择在八月拜月呢? 诉求是什么呢? 	disgust	none	-1
ESPRIT曾经是白领们的最爱，但如今却每况愈下。 拥有ESPRIT品牌的思捷环球销售额和利润都在继续下滑。 ESPRIT原来的拥趸，显然被快速时尚品牌抢走了。 比如拥有Zara的Inditex集团，去年前9个月利润增长高达42%。 为了重新赢得顾客，思捷刚换了集团主席。 你愿意重回ESPRIT店内，观察它是否真的发生改变吗？ 	none	none	0
张小娴说：思念一个人，不必天天见， 不必互相拥有或相互毁灭， 不是朝思暮想，而是一天总想起他几次。 听不到他的声音时，会担心他。 一个人在外地时，会想念和他一起的时光。 	none	none	0
自己把自己说服了，是一种理智的胜利； 自己被自己感动了，是一种心灵的升华； 自己把自己征服了，是一种人生的成功。 	none	none	0
恨一个人跟爱一个人一样，宁可屏蔽关于她的一切消息，也不想看到她身边站着另一个人，而忘记最好的方法是不断地努力，找更好的人，让她后悔莫及！ 	none	none	0
”在爱情的游戏中，逐点追逐，模糊的幻影，然后头破血流，再寻找新欢，以为可以隐藏一切全身而退，但已物是人非。 ”小米侧头，迷惘的眼神，珍惜现在不好吗？ 	none	none	0
你必须以诚待人，别人才会以诚相报——李嘉诚 创业不像读书，一天可以过好多年，创业必须一步一个脚印走。 ——周晋峰 求珍品，品味虽贵必不敢减物力；讲堂誉，炮制虽繁必不敢省人工。 —— & amp;quot;同仁堂 & amp;quot;里看诚信 修合无人见，存心YL 	none	none	0
我不是做广告，那个海苔味的福娃糙米卷太让人崩溃了，吃了一条就再忍不住。 这世上的悲哀一种，莫过于眼看着自己坐吃山胖，压力山大又控制不住。 	sadness	like	3
小时候，爸爸妈妈都上班，我放学回家，妈妈用高压锅煮饭，让我看着然后继续上班去。 我贪玩就跑出去和小伙伴们玩。 每次都是玩着玩着突然想起高压锅，于是百米冲刺回家，这个时候有两种结果，1.刚好来得及，把关了，再以百米冲刺速度回去和伙伴们玩。 2.他妈妈已经把火关了，然后他妈妈追着他满村跑。。。 	none	none	0
其实一个钱币最美丽的状态，不是静止，而是当它像陀螺一样转动的时候，没人知道，即将转出来的那一面，是快乐或痛苦，是爱还是恨。 快乐和痛苦，爱和恨，总是不停纠缠。 	none	none	0
收视提示：2011年5月23日（周一） CCTV-6 19：35分 《流金岁月》专栏将播出淳哥主演电影《锅碗瓢盆交响曲》，淳迷们记得锁定电影频道留意收看哦！～ （看完电影还有精彩节目可千万不要走开哦，[偷笑] 想要知道请接看下条微博。。。） 淳迷们快快来[围观] ！～[耶] 	happiness	none	1
今天终于占到一个位子了，我有自己独立的位子了。 明天，奋斗吧。 祈祷明早别说，人是在一楼看书的，10点后上来，那就悲剧了。 	happiness	like	1
我嗨了····一不小心花了2快钱定制了个您好，您拨打的用户已关机的彩铃！！！ 我无奈了！！！ 谁给我打电话听到这个彩铃的话就证明！ 你是0点到6点之间给我打的！！！ 为啥这么晚，或者说这么早就给我打电话！ 	sadness	none	-1
要是之后的日子每天都像现在这样，不调整好心态不摆放好位置最先被累死的就是饭，我不打算管这档子破事儿了，他自己选的路，错了也怪不了谁，对了那是最好了，金在中的人生只能由他自己选择，即使是被别人影响的，最后决定的还是他自己。 我现在眼里看得到谁就陪着谁走下去其他不管了，顶多最终是个杯具 	sadness	disgust	-1
几米的漫画里，总有很多兔子，象一个暗喻。 今天，在拆建的路旁我看见这只惶惑的兔子，是否是在城市里惶惑而不安定的心灵写照呢？ 	none	none	0
我想起了那个打劫的故事，第一个交钱的给100，第二个200…… 以此类推，因此，大伙儿排好队交钱，劫匪只要收钱和维持次序就可以了 	none	none	0
最新流言:据Euro Entertainment的总裁透露TH4月将不会在俄罗斯举办演唱会,不过今年秋天Tokio Hotel计划有一场不插电巡演... 	none	none	0
我买了件镂空露背装[吐][吐] //@何小熊Shawm:以后陪你去 //@海海海海海城:你们都不等我 	none	none	0
三峡大坝下三省大旱 500万人饮水困难,目前，全国耕地受旱面积为9892万亩，有497万人、342万头大牲畜因旱饮水困难。 	none	none	0
日本的政府丧心病狂! 面积小，多地震，核电站的密度世界第一，其数量世界第三。 美国平均9万k㎡有1座，日本0.67万k㎡有1座，这个密度相当于北京一地有2座，香港6座，广东一省26座，中国1400座！ 地震是天灾，核泄漏是人祸，政府别狡辩，不修就不会泄露！ 广岛长崎死伤40万，老百姓勤奋忍耐，日本政府王八蛋 	anger	disgust	-1
做人原则：⑴能不骂人，就不骂！ 一旦骂，就往死里骂； ⑵骗我可以，但不要被我知道； ⑶我可以容忍，但别超过我的底线； ⑷我可以装傻，但别以为我真傻； ⑸不做第三者，即使再喜欢； ⑹不喜欢就是不喜欢，说啥也没用； ⑺任何的真话，我都能接受； ⑻对于装X者，不留脸面。。。 	none	none	0
埃及语录：1、我们不怕流血和牺牲，只害怕失败； 2、我们的任务完成了，该让学者和专家们登场了； 3、我们能推倒独裁，你要知道是谁建造了金字塔； 4、今天我们将领导民主运动，因为昨夜男人们一直在保护我们，他们累了，需要休息； 5、士兵们，枪口要对准罪犯和窃国者，我们是你们的父母、兄弟和姐妹。 	none	none	0
上午药家鑫终审宣判死刑后，据说法院外有放鞭炮的，晚上富士康就爆炸了，这个故事告诉我们，市区内应该禁止燃放烟花爆竹，崩那么老远。。。 	none	none	0
明天上班了，心情很忐忑。 过年很家庭，幸福有晒过。 今天在线时间，业内朋友联系，大约都在说：今年日子要难过了。 专注知识管理的章林表示：花无百日红，人无再少年。 市场变幻，职场来来往往，心安与长远的你我，不如慢步，给力鼓舞，道与术，专注，爱护，互动，分享进步！ 管它调控无数。 迈步，同路。 	none	none	0
箴言：1.体谅他人并不困难，只要站在对方的立场看问题。 2.如果能先看到自己的不是，答案就会不一样。 3.错误地诠释别人的好意，会让自己亏。 4.事情既然已经发生了，担心不如宽心。 5.不管遇到什么事，换个角度去思考，所得到的想法跟作法一定会更圆满的。 6.对待事情的看法，反映出一个人内心真正的态度。 	none	none	0
谢大家的生日祝福... 没能一一回复请见谅... 在这里一并道谢了... 年纪不小了，曾经追求的浮华喧闹也化为对生活平淡恬静的向往... 所以没有生日派对无需鲜花美酒... 只想静静地享受与家人和睦温馨的团聚，漂泊了很多年，珍惜现在与家人相处的每一分... 亲们... 抛弃所有不开心... 2011年让我们以快乐为本...[花束] 	happiness	like	1
如果一个人向你表白，无论如何请珍惜TA对你的爱，即便只做普通朋友，这样的表白不会再有第二次。 也许，爱不是寻找一个完美的人，而是要学会用完美的眼光欣赏一个不完美的人。 牵了手，就不要随便说分手。 	none	none	0
昨天刚从欧洲回来，本来明天（3月13日）要去日本，因为日本大地震，形成向后延迟。 看电视上日本各地的受灾情况，不由想起08年的汶川地震。 深深地为日本人民祈福，愿他们早日从地震的噩梦中苏醒过来。 但是在网上看到有些人在热烈庆祝日本地震，无语了。 唉！ 狭隘的爱国主义如何能让中国伟大复兴！！ 	disgust	sadness	-1
获得卫浴十大品牌荣誉的分别是：（排名不分先后）箭牌卫浴、全友卫浴、惠达卫浴、申鹭达卫浴、辉煌水暖、中宇卫浴、安华卫浴、四维卫浴、东鹏洁具、新泰和卫浴。 	none	none	0
乐清警方侦查终结，前村长钱云会死于交通意外。 这已经是定论了，无可推翻！ 现在唯一希望就在费良玉身上，只有判费良玉危害公共安全罪，死刑并立即执行，方可平息由此产生的恶劣影响，也只有这样才能使费良玉被扭曲的灵魂得到舒展。 	none	none	0
报道说：发改委对联合利华实行200万的处罚，缘由为3月份散布涨价信息。 这理由太牵强了点，如果3月份不约谈联合利华不让涨价人家会不涨么？ 每次汽油涨价前一样散布信息，怎未见约谈？ 怎未见罚款？ 为何国企能做的事在私企就不可以了？ 政府作为监管机构应秉承三公原则，否则这样的商业环境会影响到经济。 	anger	none	-1
1. 今天演讲《互联网的九个产品精神之二》： 3）数据导向：用互联网的特性获取用户使用轨迹，做A-B Test理解用户需求和选项，从中判断如何设计产品和排序功能。 4）清晰定位：知道你的产品的核心需求和功能，两句话说清楚。 清晰目标用户是谁，不能太广。 用定位来挑选功能，避免功能膨胀。 	none	none	0
何止有意思啊，绝对有内涵啊。 //@蕾蕾张的微微博:有意思 //@lhf1230:// @宅男宅女爱冷笑话 :不是一般的经典 	like	none	1
唐僧是个好领导：人们指责唐僧昏庸，却没有深入认识他的内心世界。 唐僧有崇高的事业目标，坚定不移的意志，严于律己的作风。 对部下宽严相济，有知人之明。 孙悟空本事很大，但是造反派出身，必须严加管束，才能成功成才。 猪八戒的小毛病无碍大局。 沙僧和白龙马各能发挥所长。 这样的好领导哪里去找？ 	like	none	1
手中有朱镕基的新书和普京大传，他妈的却要背课本。。。 这种感觉就像明明可以和美女约会去非要他妈的和大妈们一起织毛衣！ 我勒个去！ 	disgust	anger	-1
还有两个感激却失联的姐姐。 一个是马总。 第一次上油壶的项目，马总坐镇天津。 我作为一个小土豆和马总住一屋。 为了缓解紧张，每天起床和睡觉，我都会跟自己喊话，生活是一团麻啊。 项目结束的时候，马总跟我说，一团麻，我都要被你搞成一团麻了。 对于我来说，马总是technica活字典。 是我希望到达的高度。 	like	none	1
没有思想的女人很少主动出击，因为她们不会主动思索什么，只有被动的等待对方的攻击后，才能进行反击。 女人的反击也是针尖对麦芒地计较一些细枝末节，且常常下笔千言，离题万里，如果让几个女人研究中国与美国的关系难题，经过几天的各执一词，随时变换主题的激烈讨论后，形成的决议将是：打倒小三。 	none	none	0
樊建川提出一个问题：抗日战争中有多少中国战俘？ 谁能回答这个问题呢？ 那些为国家生存而做了俘虏的勇士们，他们是有名字的。 	none	none	0
新年第二天！ 其实十多年来要的不多，就想～宅。 放假只求能安静一下、吃爱吃的、别受气。 但2010年，我看没有一个假期如愿，不全爆就烧香拜佛了，一般都是吃不好、睡不好、人在囧途不说，还途遇囧人。 唉～ 或许这就是人生吧，反正苦命的依旧苦命，一切要认命。 男人不难，就不是男人啊～ 2011年希望好过点。 	sadness	none	-1
儿子的学习桌，每天晚上都成了我玩魔兽的笔记本电脑桌了，哈哈，一会儿照个照片发来，拿手机拍吧，虽然效果很烂，但是发的方便。 	happiness	none	1
哈哈没夸你，我这人就是实在人说实在话… //@星库刘海洋:回复@王艺禅V:看你把我夸的，心里热乎乎的。 我才知道说实话还有人夸，更明确了努力方向 //@王艺禅V:转发此微博:哈哈！ 你相当幽默拉老大 	happiness	none	1
如果我们在埋头发展经济时，忘了关照我们的心灵，在强调竞争时，忽略了人与人之间的关怀，社会经济的发展就很难与个体身心的快乐成正比。 因为经济再发达，钱再多，最多只能买来现代化的生活方式，却无法买来人心的和谐与快乐。 ——萧然《我们比20年前快乐吗》（《读者》2011,2） 	none	none	0
台湾75期《Fans粉丝志》，《韩庚·挑战大银幕 成功圆梦》采访页面翻拍（我没有扫描机，所以拿相机拍的，大家凑合看= =）4 （原图，点击可放大^^） 	none	none	0
有人跟我说，我们私奔。 有跟我人说，等我以后会好的，以后在一起。 有人跟我说，我马上要走了。 不结婚的爱情就是爱着爱着，结果最后发现一个人。 [哈哈]所以，应该说，我们结婚吧。 	none	none	0
做梦都梦到老板在帮我改proposal...然后瞬间在梦里反应过来我靠下午了答应客户上午打的电话没打，明就走了来不及了怎么办怎么办，然后瞬间醒过来，很高兴的发现天还没亮，于是默念一百遍记得早上到公司就给客户电话电话电话然后踏实的再次睡着了。。。 	happiness	none	1
如果有一天，当爸爸妈妈站也站不稳，走也走不动的时候，请不要催促他们，因为你在慢慢的长大，而他们却在慢慢变老…… 请你紧紧握住他们的手，陪他们慢慢地走——就像，当年他们牵着你一样……[心] 	like	none	1
威斯康星大学叶维廉教授在比较中西传统山水诗的时候指出，西方诗因为时态和连接词等语法原因，诗人不可避免地要确认所描述对象的时空和逻辑关系，这样西方诗的意义有较大确定性。 而中国古诗既无时态，又很少表示因果转折的连接词，诗人强加于读者的关系比西诗少，读者在欣赏时可以有更自由丰富的解读。 	none	none	0
黄牛哥问卢广仲是哪儿人，我说台湾，他说，哦，人太多了，我都记不得了。 然后我问，新晋歌手，票房是不是不太好？ 牛哥说，没有那五棵松方大同好。。。 	none	none	0
If you cannot find peace within yourself, you will never find it anywhere else. 如果找不回自己内心的宁静，你去外面找是找不到的，不管你去哪里找。 	none	none	0
能问这问题的就可以归入送钱阶级了 //@老郎来了:王总，推荐一个靠谱点的股票呗～～ 可以私信我啊 //@Kevin王青松: 抢涨停的傻了 	none	none	0
今天去中关村修电脑，等的时候一个男的进来说要买摄像头，老板就给他拿了一个，他拿着摄像头，逗老板大概1岁半的孩子，举着摄像头让孩子亲他一下，说不然就把他家东西拿走，说着就假装向外走，老板以为闹玩，也没在意，然后，这货就拿这摄像头真走了...... 老板一会才缓过来，追出去早没人了·· 	surprise	none	2
据今日凌晨2：30左右玉龙县山火扑救指挥部介绍，目前有1200多人守候在火场附近，等待夜间气温降低，风势减弱火情稳定后，将全力进行明火扑灭工作。 如果气象条件不发生异常变化，计划在今日上午十点左右扑灭明火。 	none	none	0
我的手工艺品三 成品 (明天婚礼送戒指的盒子跟气球 今天婚庆来晚了 工作量太大 我就帮忙做了这个 对我来说挺容易 早在06年读书时我就经常用这一招 那时候还没婚庆公司的概念 所有事情必须自己搞定 想想这两年婚庆的发展还真是够快) 	none	none	0
回复@爱民律师:周泽律师用行动回答了你。 我就像周泽那样做的。 或许我没他的影响力，可是我会尽力。 //@爱民律师:回复@何辉新律师:我对此表示钦佩。 但是，我还是想知道，如果您的委托人在不知情（或知情）的情况下，其行为违反了您心目中的恶法，您会怎么做？ 	none	none	0
那时，我突然明白了过来。 原来我一直害怕的不是上帝，魔鬼或是死亡，而是，即便我们不再存在，万事万物却依然如常继续。 ——西蒙·凡·布伊 《因为爱》 	none	none	0
今晚这里将举行《汉诗》走进高校的一个启动仪式，同时，也会有青年诗人即兴朗诵诗歌。 大家边品茶喝咖啡，边听诗歌朗诵，欢迎来坐坐！ 	happiness	none	1
国内的颁奖礼较之于奥斯卡，主持、嘉宾、获奖演员在台上最大的差别，就是不够松弛。 阅历浅、文化薄则紧，反之即会松。 演员在台上（或镜前）最难保持的就是松弛，这也是前苏联表演教宗斯坦尼斯拉夫教学体系的核心。 不知现在的中戏是否还在用斯坦尼体系教学。 	none	none	0
初夏, 我正在池塘边上网, 赏莲(有没有), 忽然一阵微风吹来[微风] [微风] [微风] 把我的鼻子塞住了...... 马勒戈壁, 抽不了烟了!!!!! 	disgust	none	-1
关心璐儿的朋友们，她现在很好，大家放心，病床上的璐儿像只小猪现在变的超乖…… 虽然还在高烧，不过我相信会好起来的：） 	like	none	1
